Provincia	 Distrito	Corregimiento	Comunidad
			
Veraguas			
			
	Atalaya		
			
		Atalaya	
			
			Alto de La Mina
			Alto de Los Bala
			Atalaya
			El Jobo
			Flores Moradas
			Garnadera
			La Mina
			La Monita
			Las Tías
			Llano del Nance
			Paso Lajas
			Pedregoso
			Tierra Plana
			Tinajita
			
		El Barrito	
			
			El Balita
			El Barrito
			El Ciruelito de Nuestro Amo
			El Sierral
			
			El Tambor
			El Tigre
			El Zapote, Pueblo Nuevo
			La Canoa
			La Cantera
			La Isidra
			Los Corralillos
			Los Guaimy
			Los Sábalos
			Nuestro Amo
			Tara
			Tun-Tun
			
		La Montañuela	
			
			El Barrero
			El Coco
			El Pontón
			El Potrero
			El Salero
			El Tinoco
			La Carrillo
			La Cruz
			La Montañuela
			Los Corralitos
			Los Planes
			Palenque
			San Isidro
			
		La Carrillo	
			
			Balbuena
			Charco Azul
			La Canoa
			La Carrillo
			La Maravilla
			Las Ánimas
			Los Cerros
			Los Peñeros
			Nuestro Amo
			Rincón Sucio
			
		San Antonio	
			
			Altos de Cerro Azul
			El Pedrito
			El Potrero
			Finca La Mata
			
			Finca Zapotal
			La Ensenada
			La Mata
			La Mata Abajo
			Los Boquerones
			Los Cerros
			Quebrada La Mata
			Quintas del Maria
			Residencial Campo Dorado
			Residencial Cerro Azul
			Residencial Doña olivia
			Residencial Llano Bonito
			Residencial Villa Atenas
			Residencial Villa Lara
			San Antonio
			
	Calobre		
			
		Calobre	
			
			Alto de La Juanita
			Alto de Las Palmas
			Alto La Rivera
			Altos de Buena Vista
			Atravesado
			Buena Vista
			Calobre
			Cardenillo
			El Alto
			El Bajo
			El Barrero
			El Cabimo
			El Cacique
			El Chumico
			El Coral
			El Horcón
			El Pedregoso
			El Quira
			El Rodeo
			El Tejal
			Guayabito
			La Botijuela
			La Ciraca 1
			La Peña del Tigre
			La Puente
			La Rivera
			La Yeguadita
			Lagunilla
			
			Las Tetas
			Llano Bonito
			Los Bustos
			Los Curas
			Los González
			Los Tulices
			Manzanillo
			Naranjales
			Palito Verde
			San Andrés
			San Miguel
			Taboga
			
		Barnizal	
			
			Bajo Alto
			Bajos Lajas
			Barnizal
			Cantero
			Cerro Agú
			El Barrero
			El Cajón
			El Guayabo
			El Tambor
			El Tigre
			Juan Lucas
			Las Flores
			Loma Larga
			Portuguéz
			Portuguéz Arriba
			Raja Leña
			Rastrojal
			Río Pital
			
		Chitra	
			
			Achotillal
			Alto Coral
			Alto La Palma
			Alto Limón
			Alto Lirio
			Altos de Naranjal
			Arenal
			Bajo Chitra
			Bajo Limón
			Barrerito
			Barro Amarillo, Tres Pasos
			Berrocal
			
			Cerro Agudo
			Chitrita
			El Copé
			El Cozme
			El Mielar
			El Nanzal
			El Palmar
			Escobillal
			Espino Amarillo
			Guarapal
			Honduras
			La Pacora
			La Pedregosa 1
			Las Matillas
			Llano Bonito
			Llano Largo
			Loma Chata
			Loma Llana
			Los Castros
			Los Ceibos
			Los Chacareros, Las Peñitas
			Los Potrerillos
			Mata Palo
			Media Luna
			Ojito de Agua
			Palenque
			Pandura
			Papelillo
			Piedras Gordas
			Platanal
			Pueblo Nuevo
			
		El Cocla	
			
			Alto Cristal
			Buenos Aires
			Capellanía
			Carrizal
			Caña Blanca
			Cerro Grande
			El Cocla
			El Esquinado
			El Harino
			El Macho
			El Rodeo
			El Salitre 1
			El Salitre 2
			La Estancia
			
			La Pancha
			La Pandura
			Las Marcelas, Llano Largo
			Limón
			Los Bustos
			Los Toritos
			Marañón
			Pan de Azúcar
			Paso Carnal
			Paso Real
			Potrerillo
			Rodeo
			Sauceo
			Viento Abajo
			Viento Arriba
			
		El Potrero	
			
			Cerro Alto
			El Aguacatal
			El Calvario
			El Chumicoso
			El Cortado
			El Espinal
			El Guayabo
			El Jobo
			El Palmillar
			El Potrero
			El Rincón del Guayabo
			Hervedor
			La Galera
			La Lagunita
			Las Canaletas
			Llano Grande
			Los Patios
			
		La Laguna	
			
			Aguas Blancas
			Boca del Río Pital
			Cerro de La Palma
			Corona Abajo
			Corona Arriba
			El Barrero
			El Búho
			El Cocuyo
			El Fondo
			El Guabal
			
			El Harquin
			El Jazmín
			El Macho
			El Pato
			El Portachuelo
			El Portuguéz
			El Recodo
			El Zancudo
			Finca El Rodeo
			La Berrugosa, Cañafistulo
			La Corocita
			La Laguna
			La Mata
			La Pedregosita
			La Sabaneta
			Las Brujas
			Las Flores
			Las Lajitas
			Las Trancas
			Llano Colorado
			Llano Grande
			Los Cerritos
			Los Limpios
			Madroñito
			Mucha Agua
			Piña
			Rodeo Viejo
			Tierra Blanca
			Tolondango
			
		La Raya de Calobre	
			
			Agua Blanca
