Provincia	 Distrito	Corregimiento	Comunidad
			
Comarca Ngäbe Buglé			
			
	Besiko		
			
		Soloy	
			
			Alto de Mango
			Alto de Naranjo
			Alto Soloy
			Barriada 2000
			Boca de Caña
			Boca de Huso
			Boca de Jebay
			Boca de Quebrada de Hacha
			
			Boca de Soloy
			Brazo de Miel 1
			Brazo de Miel 2
			Cabecera de Corral
			Cabecera Miel
			Cerro Cucaracha
			Cerro Miel
			Cerro Venado
			Cerro Viejo, Israel
			El Barrero
			Gasparillo
			Jaramillo
			Jebay
			Moracho
			Quebrada Caña
			Quebrada Hacha
			Quebrada Sueño, Alto Caña
			Salitre
			
		Boca de Balsa	
			
			Alto Rey
			Boca de Balsa
			Boca de Huso
			Boca de Quebrada Remedios
			Cabecera de Ceiba
			Cabecera de Cogollo
			Cabecera de Macho de Monte
			Cabecera de Quebrada Berba
			Cabecera de Tigre
			Calabazo
			Ceiba
			Cerro Banquillo
			Cerro Bollo
			Cerro Caja
			Cerro Iglesia
			Cerro Pita
			Cerro Yuca
			Cogollo
			Cogollo 2
			El Coco
			El Palmarito
			Hato Salud
			Jatote
			Limoncillo
			Limón
			Macho de Monte
			Pellejo de Agua
			
			Plano de Río Huso
			Quebrada Arena
			Quebrada Balsita
			Quebrada Camarón
			Quebrada Carpintero
			Quebrada Cementerio
			Quebrada Chicha
			Quebrada Corozo 1
			Quebrada Cucaracha
			Quebrada El Nance
			Quebrada Lajita
			Quebrada Lajita 2
			Quebrada Molino
			Quebrada Palma
			Quebrada Penca
			Quebrada Perico
			Quebrada Ñeque
			Sabana de Huso
			Salitre
			
		Camarón Arriba	
			
			 Quebrada Posoy
			Alto Jacaque, Capacho
			Boca de Quebrada Camarón
			Boca de Quebrada Guacamaya
			Boca de Quebrada Lajas
			Boca de Quebrada Secuara
			Boca de Águila
			Boca Quebrada de Ullama
			Cabecera de Posoy
			Cabecera de Quebrada Guacamaya
			Cabecera de Quebrada Lajas
			Cabecera de Quebrada Los Peces
			Cabecera de Quebrada Monito 1
			Cabecera de Quebrada Monito 2
			Cabecera de Quebrada Pifa
			Cabecera de Quebrada Secuara
			Cabecera de Quebrada Tigra
			Cabecera de Ullama
			Cacicón
			Camarón Abajo
			Camarón Arriba
			Cerro Jesús
			Común
			Corocito
			Cucuria
			Escobal
			
			Falda de Cerro Palma
			Falda de Palma
			Guacamaya
			Las Nubes
			Quebrada Biabá
			Quebrada Cabuya
			Quebrada Carpintero
			Quebrada Los Peces
			Quebrada Monito
			Quebrada Palma
			Quebrada Pifa
			Quebrada Puerco
			Quebrada Tigra
			Quebrada Ullama
			Quebrada Zapote
			Secuara
			Sigoni
			
		Cerro Banco	
			
			Aguacatillo, Aguacate
			Alto Bonito
			Barriada Nueva Generación
			Boca de Quebrada Lodo
			Boca de Quebrada Ullama
			Boca de Quiqui
			Boquilla de Quiqui
			Cabecera de Quebrada Gallota
			Cabecera de Quebrada Lodo
			Cabecera de Quebrada Piedra
			Calabacito
			Cerro Banco
			Cerro Bolote
			Cerro Gato 2
			Cerro Pavón
			Cerro Pelado
			Cerro Piña
