Provincia	 Distrito	Corregimiento	Comunidad
			
Coclé			
			
	Aguadulce		
			
		Aguadulce	
			
			Aguadulce
			Cerro El Vigía
			Finca La Fe
			Finca La Polonia
			
			Los Pinos
			Vía al Puerto
			
		El Cristo	
			
			Barriada Pueblo Nuevo
			Barriada San Pedro
			Barriada Santa Marta
			El Calixto, Los Juárez
			El Cristo
			El Estero de San José
			El Higo
			El Naranjal
			El Olivo
			El Picacho
			Juan Bran
			La Negrita
			La Poza
			Las Mineras
			Los Lagos
			Quebrada de Hato
			Tranquilla
			
		El Roble	
			
			Chilibre
			El Guayabo
			El Hato La Estrella, Alto La Estrella
			El Naranjal
			El Roble
			La Loma
			Llano Bonito
			Membrillal
			Residencial Don Bosco
			
		Pocrí	
			
			Pocrí
			
		Barrios Unidos	
			
			Barrios Unidos
			Bella Vista
			El Gallo
			El Salado
			La Caleta
			Los Indios, Punta Piedra
		Pueblos Unidos	
			
			Altamira
			Cotava Abajo
			Cotava Arriba
			El Barrero
			El Estero de San José
			El Jagüito
			Finca Cocobo
			Finca La Panela
			Hato de San Antonio
			Ingenio Santa Rosa
			La Chapa
			La Cruz
			La Lucía
			Llano Santo
			Llano Sánchez
			Salitrosa
			Vista Hermosa
			
		Virgen del Carmen	
			
			Barriada Los Santeños
			Cerro Morado
			Las Mineras
			Pocrí
			Residencial Cerro Morado
			Residencial La Libertad
			
		El Hato de San Juan de Dios	
			
			Cerro Gordo
			El Barrero
			El Hato de San Juan de Dios
			El Mono
			El Pinzón
			La Loma de Los González
			La Tinaja
			Las Mieles
			Los Callejones
			Los Rincones
			Los Volcanes
			
	Antón		
			
		Antón	
			
			Antón
			Bijagual
			Boca Nueva
			
			Calle Larga
			Camaronera La Fe
			Ciénaga Vieja
			El Roblito
			Finca Desarrollo La Fe
			Finca El Guayabo
			Finca El Guineo
			Guabas Arriba
			Hacienda Sendero del Valle
			La Camaronera
			La Hincada
			Llano Mirador
			Los Azules
			Los Pantanos
			Urbanización Hacienda El Mirador
			
		Cabuya	
			
			Aguacate
			Altos del Barrero
			Bajo de La Cruz
			Barranquilla
			Cabuya
			El Aromo
			El Ciruelito
			El Guanábano
			El Higo
			El Macanito
			El Macano, Macano Abajo
			El Nancito
			El Quira
			El Valle
			La Laguna
			La Palma
			La Palma 1
			La Pedregosa
			La Pita
			La Piñuela
			La Zamba
			Las Guías
			Las Mateas
			Llano El Tigre
			Llano Grande
			Loma Larga
			Los Alonsos
			Los Alveos
			Los Chirú
			Los Corrales
			
			Los Pintos
			Los Sánchez
			Los Torres
			Mata Palo
			Roma
			Río Hato
			
		El Chirú	
			
			Buen Retiro
			Buena Ventura
			El Chirú
			El Hatillo
			El Rincón
			Hacienda Multiganadera
			Hacienda Santa Mónica
			Hato Viejo
			Juan Hombrón
			Llano Grande
			Llano Sánchez
			Los Aguilares
			Palo Verde
			Pueblo Nuevo
			Quebrada Las Yeguas
			Río Chico
			Senderos de Santa Mónica
			
		El Retiro	
			
			Caballerito
			El Chirú
			El Espino
			El Jobo
			El Marañón
			El Retiro
			La Pedregosa
			La Soledad
			Llano Bonito 1
			Llano Grande
			Llano Grande News
			Los Reyes
			Los Samaniegos
			Los Torreros
			Panamacito
			Paraíso Escondido
			San José 2
		El Valle	
			
			Alto de La Mesa
			El Valle
			La Amapola
			La India
			La Mesa
			Quebrada Amarilla
			
		Juan Díaz	
			
			El Bajito
			El Corotú
			El Jagüito
			El Jobo
			Finca El Guineo
			Juan Díaz
			La Colorada
			La Iguana
			La Tortuguilla
			Residencial Vista del Río
			
		Río Hato	
			
			Agroganadera Coclé
			Alto de La Gloria
			Arenilla, Toro Bravo
			Barceló Playa Blanca
			Bijao
			Boca de Patiño
			Boca de Río Hato
			Buenaventura
			Chumico Redondo
			Costa Arena
			Costa Blanca Villas
			Desarrollo Santa Clara
			El Chumico, El Comején
			El Jobito
			El Limón
			El Piral
			Entrada de Playa Blanca
			Farallón
			Finca Las Palmeras
			Hotel Royal Decameron
