Provincia	 Distrito	Corregimiento	Comunidad
			
Chiriquí			
			
	Alanje		
			
		Alanje	
			
			Alanje
			Bajo Chirigagüa, Chirigagüa
			Barriada Buena Vista
			Barriada Etchelecu
			Jarquin
			Jarquincito
			La Pita
			La Pita Abajo
			Mostrenco
			Posada Berroa
			
		Divalá	
			
			Changuina
			Divalá
			El Jobito
			La Gurgulla
			La Laguna
			La Peña
			La Picadura
			
			Los Limones
			Los Árbol Panes
			San Martín Abajo
			Sioguí Abajo
			
		El Tejar	
			
			Bajo Chirigagüa, Chirigagüa
			El Tejar
			La Lora
			La Pita
			Loma de San Pedro
			Sitio Lázaro
			Veladero
			
		Guarumal	
			
			Boca de Hacha
			Cabreño
			El Cacao
			El Jobo
			Guarumal
			Guásimo
			La Barqueta
			La Martina
			Las Olas Villa
			Los Chiriquíes
			Los Pocitos
			Membrillal
			Mostrenco
			Paja Blanca
			Sabaneta
			Urbanización Las Brisas de Alanje
			
		Palo Grande	
			
			Alto La Playa
			Barqueta Nice
			Cornozuelo
			La Ortega
			Las Moras
			Llano Grande
			Palo Grande, Sabana Bonita
			
		Querévalo	
			
			Calabazal, Cabezones
			La Berlina
			
			La Lora
			Orillas del Río
			Querévalo
			
		Santo Tomás	
			
			El Jobito
			Estero Rico
			La Cucua
			La Cucua de San Martín
			La Trinchera
			Monte Grande
			San Martín
			Santo Tomás
			
		Canta Gallo	
			
			Canta Gallo
			La Pita
			La Pita Abajo
			Llano Grande
			
		Nuevo México	
			
			Bajo Hondo
			Barro Blanco
			Camino Hacia Los Guabos
			El Chanchito
			Finca Colcha
			Finca San Antonio
			Finca Santa Elena
			Finca Santa Librada
			Finca Santa Rita
			Gariché Abajo
			Gariché Abajo 2
			La Gurgulla
			Las Mercedes
			Las Tres Bocas
			Nuevo México
			Ojo de Agua
			Paso de Tranquilla
			Pasos de Los Guabos
			Quebrada Grande
			Quebrada Negra Abajo
			Río Chiriquí Viejo
	Barú		
			
		Puerto Armuelles	
			
			Agua Buena
			Alto de Los Lagos
			Altos de San Vicente
			Asentamiento
			Cabecera Corotú
			Corotú La Unión
			El Fraile
			Guanabanito
			Guanábano
			Llano Bonito
			Manzanillo
			Margenes de Corotú
			Melliza Abajo
			Melliza Arriba
			Monte Verde
			Monte Verde Arriba
			Puerto Armuelles
			Punta de Piedra
			Quebrada de Piedra
			Rabo de Puerco Abajo
			San Bartolo Arriba
			San Bartolo Límite
			
		Limones	
			
			Baco
			Bella Vista
			Burica
			Calabazo
			Canegua
			Caña Blanca
			Corotú
			Limones
			Mellicita
			Puerto Balsa
			Quebrada del Medio
			Quebrada Tallo
			Yerbazales
			
		Progreso	
			
			Barriada Bello Amanecer
			Barriada Don Pinto
			Barriada El Triunfo
			Canoa Abajo
			Chuchupate
			
			Colorado, Kilómetro 32
			Cuervito Abajo
			Cuervito Arriba
			El Cedro
			Finca María
			Paso Canoa Arriba
			Paso Canoa Internacional
			Progreso
			Quebrada Arena
			Quira
			Revolución, Colorado Centro
			Santa María
			
		Baco	
			
			Berba
			Chiriquí Viejo
			Corotú Civil
			El Salado de Los Guabos
			Finca Baco
			Finca Teca
			Kilómetro 24
			La Esperanza
			La Irrigación
			Las Huacas
			Los Tecales
			Madre Vieja
			Majagual
			San Pedro
			San Valentín
			Santa Rosa de Lima
			
		Rodolfo Aguilar Delgado	
			
			Acueducto Almendro
			Asentamiento Almendro
			Blanco Arriba
			Bongo Civil
			Burica Centro
			Burica Sur
			Cañazas
			Cañazas Arriba
			El Coco
			El Muro, El Almendro
			Finca Aguacate
			Finca Balsa
			Finca Blanco
			Finca Bongo
			
			Finca Corozo
			Finca Guayabo
			Finca Higuerón
			Finca Palmito 01
			Finca Palmito Viejo
			Finca Sigüa
			Finca Zapatero
			Higuerón, Topoyiyo
			La Pista
			La Unión
			La Vaquita
			La Victoria
			Los Plancitos
			Nuevo Burica, San Antonio
			Proyecto 2000
			Proyecto Caoba
			Rabo de Gallo
			Samaria
			
		El Palmar	
			
			Agua Fría
			Boquilla
			Choroca
			Divisa
			El Palmar
			La Unión
			Los Planes
			Majagua Civil 1
			Majagua Civil 2
			Quebrada Sábalo
			Río Chiquito
			San Bartolo
			San Bartolo Línea
			San Bartolo Arriba
			San Bartolo Límite
			Sangrillo
			Sangrillo Abajo
			
		Manaca	
			
			Aguacatón
			Balaspit
			Blanco Arriba
			Brisas de Las Palmeras
			Ceiba
			Coco Beach
			El Jazmín
			
			Finca Ceiba
			Finca Corredor
			Finca Guayacán
			Finca Higuito
			Finca Jagua
			Finca Jobito
			Finca Jocote
			Finca Lechoza
			Finca Majagua
			Finca Malagueto
			Finca Malagueto Adentro
			Finca Zapote
			Los Olivos
			Majagua Civil 1
			Manaca Civil
			Manaca Norte
			Proyecto 20, 422
			Quebrada Peña
			Sitrachilco
			Urbanización Manaca
			
	Boquerón		
			
		Boquerón	
			
			Bocalatum
			Boquerón
			Boquerón Arriba
			Boquerón Viejo
			La Meseta
			Macano Abajo
			Macano Arriba
			Tijeras
			
		Bágala	
			
			Bágala
			Cerro Cabuya
			Cerro Colorado
			Las Fuentes
			Los Lezcano
			Ojo de Agua
			Residencial Hacienda del Bosque
			Residencial Las Villas de Bágala
			Residencial Salomé
			Residencial Villa oliva
			Urbanización Santa María
		Cordillera	
			
			Aguacatal
			Cordillera
			Cordillera Arriba
			Las Vueltas
			Los Naranjos
			Tula, Cordillera Arriba
			
		Guabal	
			
			Aguacate
			Bonilla
			El Bajo
			Guabal
			Huacas Abajo
			Huacas Arriba
			Nance Bonito
			Palmira del Banco
			
		Guayabal	
			
			Bocalatum
			Guayabal
			La Elvira
			Las Monjas
			Macano Arriba
			Palma Real
			Santa Rita
			
		Paraíso	
			
			La Herradura de Paraíso
			Miraflores
			Palo Suave
			Paraíso
			Santa Marta
			
		Pedregal	
			
			Bajo Canoa
			Boquerón Viejo
			Chiquero
			La Guinea
			La Victoria
			Pedregalito
			Residencial Hacienda La Victoria
			Solano
			Varital
		Tijeras	
			
			Bajo La Arena
			Barriada La Esperanza
			Loma San Pedro
			Mata Gorda
			Palmera Village
			Sitio Lázaro
			Tijeras
			Urbanización Doña Fela
			Varital
			Varital Este
			Villa Julieth
			Villa María
			Virginia Park
			
	Boquete		
			
		Bajo Boquete	
			
			Alto Boquete
			Bajo Boquete
			Barriada Divino Niño
			Camiseta
			El Huacal
			El Salto
			Finca María Eugenia
			Los Cabezos
			Santa Lucía, Barriada Santa Lucía
			Volcancito
			Volcancito Village
			
		Caldera	
			
			Alto El Copé
			Alto Jaramillo
			Bajo Chiriquí
			Caldera
			Calderita
			Campo Alegre
			Casita de Piedra
			Cielo Paraíso
			El Barrero
			El Copé
			El Nancito
			El Síndigo
			El Zarziadero
			Finca Los Valles
			Hidroeléctrica La Estrella
			Las Peñas
			
			Los Vargas
			Mague
			Perico
			Pueblo Nuevo
			Quebrada Seca
			Rancho Caldera
			
		Palmira	
			
			Cañas Verdes
			La Colonia
			Palmira Abajo
			Palmira Arriba
			Palmira Centro
			Río Colga
			
		Alto Boquete	
			
			Agua Blanca
			Alta Vista
			Alto Boquete
			Alto Tortuga
			El Francés Arriba
			El Macano
			El Peñón
			El Roble
			Finca El Socorro
			Las Huacas
			Manga Vieja
			Residencial Montañas de Caldera
			Tortuga
			Urbanización Los Amigos
			Villas Los Altos de Boquete
			Volcancito
			
		Jaramillo	
			
			Alta Vista
			Alto Jaramillo
			Buenos Aires
			Jaramillo Abajo
			Jaramillo Arriba
			Jaramillo Centro
			La Cima del Cerro Cabezón
			La Estrella
			La India Vieja Abajo
			La India Vieja Arriba
		Los Naranjos	
			
			Alto Chiquero
			Alto Lino
			Alto Quiel
			Arco Iris
			Bajo Lino
			Barriada Las Flores
			Boquete Plantation
			Callejón Seco
			Calograma
			Camiseta
			El Huacal
			El Pianista
			El Salto
			El Santuario, Barriada Virgen de Guadalupe
			Finca Bo Maring
			Finca Revilla Bonita Spring
			Jaramillo Arriba
			La Horqueta U Horqueta
			La Pandura
			Los Cabezos
			Los Ladrillos
			Los Naranjos
			Palo Alto, Arco Iris
			Respingo
			San Ramón, Bajo Mono
			The Springs
			
	Bugaba		
			
		La Concepción	
			
			Alto de Escarrea
			Bajo del Cerro
			Buena Vista Abajo
			Buena Vista Arriba
			Bugaba
			Bugabita Arriba
			El Congo, Santa Clara
			La Concepción
			Los Robles de San Miguel
			Praderas de San Miguel
			Residencial Santa Clara
			Residencial Villas de San Miguel
			Residencial Virginia Iv
			San Miguel del Yuco
			San Valentín
			San Vicente
			Sortová
		Aserrío de Gariché	
			
			Alto de Gariché
			Aserrío de Gariché
			Barro Blanco
			Correntón
			El Roble
			Exquisito
			Exquisito Abajo
			Frijol de Palo
			Gariché
			La Libertad
			La Unión
			Los Azules
			San Miguel
			
		Bugaba	
			
