Provincia	 Distrito	Corregimiento	Comunidad
			
Los Santos			
			
	Guararé		
			
		Guararé	
			
			El Cruce del Montero
			El Espavé
			Guararé
			La Guaca
			Las Lagunitas
			Loma del Jagua
			Residencial Bella Vista
			Urbanización Mirador del Bosque
			
		El Espinal	
			
			Chumajal
			Ciénaga Larga
			El Barrero
			El Cruce
			El Espinal
			El Galapaguero
			El Mangote
			El Nanzal
			La Albina Grande
			La Calzada
			La Loma
			
			Lagartillo
			Tierra Blanca
			
		El Macano	
			
			Buena Vista
			Canajagua
			Cucula
			Cuculita
			El Macano
			La Guinea
			Los Calabacitos
			Los Toretos
			Nalu
			Santa Ana
			
		Guararé Arriba	
			
			El Berbesí
			El Coco, Pueblo Nuevo
			Guararé Arriba
			
		La Enea	
			
			El Palacio
			El Puerto
			La Albina del Calabazo
			La Enea
			Los Cuernitos
			Playa Bella Vista
			
		La Pasera	
			
			Barriada Las Mercedes
			Barriada Santa Librada
			El Montero
			El Nanzal
			La Pasera
			Residencial El Montero
			Residencial María Bonita
			
		Las Trancas	
			
			Cañafístulo
			Chumical
			El Codicioso
			El Rodeo
			El Toro, Cerro El Toro
			
			Girón
			La Flor
			La Palma
			La Pita
			Las Trancas
			Las Tranquitas
			
		Llano Abajo	
			
			Chumical
			La Peña
			Llano Abajo
			Llano de La Palma
			Llano de Los Castros
			Los Cerritos
			
		El Hato	
			
			El Bijao
			El Hato
			El Jobo, Los Gutiérrez
			El Tabacal, Santa Rita
			La Horquetilla
			Quebrada Grande
			Santa Rosa
			Santa Rosita
			
		Perales	
			
			Perales
			Santa Isabel
			
	Las Tablas		
			
		Las Tablas	
			
			El Montero
			Las Tablas
			
		Bajo Corral	
			
			Agua Buena
			Bajo Corral
			El Guanábano
			La Arena
			Las Lagunitas
			Quebrada Grande del Tebujo
		Bayano	
			
			Alto de Los González
			Bayano
			Canajagua
			El Ciruelito
			El Coro
			El Cruce de Flor Amarilla
			El Fermín
			El Guayabo
			El Meso
			El Perfecto
			El Picacho de Palmira
			El Salitre
			Flor Amarilla
			La Canoa
			Las Lajitas
			Las Placetas
			Los Borrigueros
			Los Muñoces
			Los Piros
			Los Yerbos
			Marín
			Oria Arriba
			Quebrada Grande
			Quema
			Taboga
			
		El Carate	
			
			El Bijao
			El Carate
			El Guayabo
			El Rincón
			La Gallinaza
			La Isla
			Morales
			Residencial Colinas del Carate
			
		El Cocal	
			
			 Barriada San Pedro
			Altos de San Francisco
			Barriada San Antonio
			Barriada San Pablo
			El Cocal
			El Guayabo
			La Gallinaza
			Llano Afuera
			Llano Grande, Miraflores
			
			Residencial Altos de La Arboleda
			Residencial La Arboleda
			Residencial San Antonio
			Vía Llano Afuera
			
		El Manantial	
			
			Barriada La Primavera
			Campo Alegre
			Cocobolas
			El Arbolito
			El Esterito
			El Jobo
			El Manantial
			La Cucharita
			La Toyolosa
			Las Comadres
			Palma Grande
			Residencial Campos de Arvika
			Residencial Villa Milu
			Villas Coco del Mar
			
		El Muñoz	
			
			Agua Buena
			Bajo El Guásimo
			Cerro Agudo
			Cerro Grande
			El Largo
			El Muñoz
			El Picacho Arriba
			Loma Higuerón
			Los Potreros
			Paso Las Trancas
			
		El Pedregoso	
			
			El Pedregoso
			
		La Laja	
			
			La Laja
